job_id,title,location,country,job_family,employment_type,employee_type,url
JR348215,Prime Named Account Executive,India - Mumbai,India,Sales,Full time,Regular,https://salesforce.wd12.myworkdayjobs.com/External_Career_Site/job/India---Mumbai/Prime-Named-Account-Executive_JR348215
JR349251,Lead Account Solution Engineer,India - Mumbai,India,Sales,Full time,Regular,https://salesforce.wd12.myworkdayjobs.com/External_Career_Site/job/India---Mumbai/Lead-Account-Solution-Engineer_JR349251
JR349371,"Account Executive - Tableau, ESMB",India - Bangalore,India,Sales,Full time,Regular,https://salesforce.wd12.myworkdayjobs.com/External_Career_Site/job/India---Bangalore/Account-Executive---Tableau--ESMB_JR349371
JR349529,"Manager, Accounting",India - Hyderabad,India,Finance,Full time,Regular,https://salesforce.wd12.myworkdayjobs.com/External_Career_Site/job/India---Hyderabad/Manager--Accounting_JR349529
JR349533,Specialist Account Executive,India - Mumbai,India,Sales,Full time,Regular,https://salesforce.wd12.myworkdayjobs.com/External_Career_Site/job/India---Mumbai/Specialist-Account-Executive_JR349533
JR349958,ES Workday Integrations Analyst,India - Hyderabad,India,Employee Success,Full time,Regular,https://salesforce.wd12.myworkdayjobs.com/External_Career_Site/job/India---Hyderabad/ES-Workday-Integrations-Analyst_JR349958
JR350005,Portfolio Leader (Builder People Lead),India - Bangalore,India,Software Engineering,Full time,Regular,https://salesforce.wd12.myworkdayjobs.com/External_Career_Site/job/India---Bangalore/Senior-Director--Builder-SE_JR350005
JR350211,Cloud Account Executive,India - Gurgaon,India,Sales,Full time,Regular,https://salesforce.wd12.myworkdayjobs.com/External_Career_Site/job/India---Gurgaon/Cloud-Account-Executive_JR350211
JR350379,Account Executive,India - Mumbai,India,Sales,Full time,Regular,https://salesforce.wd12.myworkdayjobs.com/External_Career_Site/job/India---Mumbai/Account-Executive_JR350379
JR350546,"Customer Success Manager, Senior Manager (Salesforce exp must)",India - Mumbai,India,Customer Success,Full time,Regular,https://salesforce.wd12.myworkdayjobs.com/External_Career_Site/job/India---Mumbai/Customer-Success-Manager--Senior-Manager_JR350546
JR351016,Specialist Solution Engineer (Martech),India - Mumbai,India,Sales,Full time,Regular,https://salesforce.wd12.myworkdayjobs.com/External_Career_Site/job/India---Mumbai/Specialist-Solution-Engineer_JR351016
JR351216,Named Account Executive - Public Sector (BFSI),India - Mumbai,India,Sales,Full time,Regular,https://salesforce.wd12.myworkdayjobs.com/External_Career_Site/job/India---Mumbai/Named-Account-Executive---Public-Sector--BFSI-_JR351216
JR351679,"Manager, Strategy & Ops, Informatica",India - Bangalore,India,Marketing & Communications,Full time,Regular,https://salesforce.wd12.myworkdayjobs.com/External_Career_Site/job/India---Bangalore/Manager--Strategy---Ops--Informatica_JR351679
JR351737,Named Account Executive - Enterprise - Healthcare/Real Estate/Education,India - Gurgaon,India,Sales,Full time,Regular,https://salesforce.wd12.myworkdayjobs.com/External_Career_Site/job/India---Gurgaon/Named-Account-Executive---Enterprise---Healthcare-Real-Estate-Education_JR351737
