title,job_id,location,url,apply_url
Lead Web Developer,27491,"India, Bangalore.",https://dth.avature.net/en_US/careers/JobDetail/Lead-Web-Developer-VAA/27492?jobId=27492,https://dth.avature.net/en_US/careers/ApplicationMethods?jobId=27492&source=Delta+Career+Site
Senior Engineer - Maintenance Programs,27159,"India, Bangalore.",https://dth.avature.net/en_US/careers/JobDetail/Maintenance-Programs-Senior-Engineer/27159?jobId=27159,https://dth.avature.net/en_US/careers/ApplicationMethods?jobId=27159&source=Delta+Career+Site
Manager HR Platforms and Delivery,27432,"India, Bangalore.",https://dth.avature.net/en_US/careers/JobDetail/Manager-HR-Platforms-Delivery/27432?jobId=27432,https://dth.avature.net/en_US/careers/ApplicationMethods?jobId=27432&source=Delta+Career+Site
Manager – Business Innovation Strategy and  Analytics,27391,"India, Bangalore.",https://dth.avature.net/en_US/careers/JobDetail/Manager-Business-Innovation-Strategy-Analytics/27391?jobId=27391,https://dth.avature.net/en_US/careers/ApplicationMethods?jobId=27391&source=Delta+Career+Site
Manager - Data and  AI Delivery,27447,"India, Bangalore.",https://dth.avature.net/en_US/careers/JobDetail/Manager-Data-AI/27447?jobId=27447,https://dth.avature.net/en_US/careers/ApplicationMethods?jobId=27447&source=Delta+Career+Site
Manager Data Engineering,27444,"India, Bangalore.",https://dth.avature.net/en_US/careers/JobDetail/Manager-Data-Engineering/27444?jobId=27444,https://dth.avature.net/en_US/careers/ApplicationMethods?jobId=27444&source=Delta+Career+Site
Manager - Data Science,27532,"India, Bangalore.",https://dth.avature.net/en_US/careers/JobDetail/Manager-GHW/27533?jobId=27533,https://dth.avature.net/en_US/careers/ApplicationMethods?jobId=27533&source=Delta+Career+Site
Manager Materials Management,27269,"India, Bangalore.",https://dth.avature.net/en_US/careers/JobDetail/Manager-Materials-Management/27269?jobId=27269,https://dth.avature.net/en_US/careers/ApplicationMethods?jobId=27269&source=Delta+Career+Site
Propulsion Engineer – Off-wing,27551,"India, Bangalore.",https://dth.avature.net/en_US/careers/JobDetail/Propulsion-Engineer-Off-wing/27552?jobId=27552,https://dth.avature.net/en_US/careers/ApplicationMethods?jobId=27552&source=Delta+Career+Site
Salesforce Platform Administrator,27502,"India, Bangalore.",https://dth.avature.net/en_US/careers/JobDetail/Salesforce-Platform-Administrator/27503?jobId=27503,https://dth.avature.net/en_US/careers/ApplicationMethods?jobId=27503&source=Delta+Career+Site
Salesforce Service Cloud Consultant,27501,"India, Bangalore.",https://dth.avature.net/en_US/careers/JobDetail/Salesforce-Service-Cloud-Consultant/27502?jobId=27502,https://dth.avature.net/en_US/careers/ApplicationMethods?jobId=27502&source=Delta+Career+Site
Senior Analyst Tech Records - Engine & APU,27526,"India, Bangalore.",https://dth.avature.net/en_US/careers/JobDetail/Senior-Analyst-Tech-Records-Engine-APU-2026/27527?jobId=27527,https://dth.avature.net/en_US/careers/ApplicationMethods?jobId=27527&source=Delta+Career+Site
Senior Analytics Specialist,27324,"India, Bangalore.",https://dth.avature.net/en_US/careers/JobDetail/Senior-Analytics-Specialist/27324?jobId=27324,https://dth.avature.net/en_US/careers/ApplicationMethods?jobId=27324&source=Delta+Career+Site
Senior Business Analyst,27435,"India, Bangalore.",https://dth.avature.net/en_US/careers/JobDetail/Senior-Business-Analyst-SysOps/27435?jobId=27435,https://dth.avature.net/en_US/careers/ApplicationMethods?jobId=27435&source=Delta+Career+Site
Senior Component Engineer,27439,"India, Bangalore.",https://dth.avature.net/en_US/careers/JobDetail/Senior-Component-Engineer-C1/27439?jobId=27439,https://dth.avature.net/en_US/careers/ApplicationMethods?jobId=27439&source=Delta+Career+Site
Senior CyberArk PAM Engineer,27577,"India, Bangalore.",https://dth.avature.net/en_US/careers/JobDetail/Senior-CyberArk-PAM-Engineer/27578?jobId=27578,https://dth.avature.net/en_US/careers/ApplicationMethods?jobId=27578&source=Delta+Career+Site
Senior Data Analyst - Quickview & Insights,27436,"India, Bangalore.",https://dth.avature.net/en_US/careers/JobDetail/Senior-Data-Analyst-Quickview-Insights/27436?jobId=27436,https://dth.avature.net/en_US/careers/ApplicationMethods?jobId=27436&source=Delta+Career+Site
Senior Data Analyst,27477,"India, Bangalore.",https://dth.avature.net/en_US/careers/JobDetail/Senior-Data-Analyst-I/27478?jobId=27478,https://dth.avature.net/en_US/careers/ApplicationMethods?jobId=27478&source=Delta+Career+Site
Senior Data Engineer,27511,"India, Bangalore.",https://dth.avature.net/en_US/careers/JobDetail/Senior-Data-Engineer-GHW/27512?jobId=27512,https://dth.avature.net/en_US/careers/ApplicationMethods?jobId=27512&source=Delta+Career+Site
Senior Developer,27425,"India, Bangalore.",https://dth.avature.net/en_US/careers/JobDetail/Senior-Developer/27425?jobId=27425,https://dth.avature.net/en_US/careers/ApplicationMethods?jobId=27425&source=Delta+Career+Site
Senior Engineer Hangar Demand Planning,27448,"India, Bangalore.",https://dth.avature.net/en_US/careers/JobDetail/Senior-Engineer-Hangar-Demand-Planning-2026/27448?jobId=27448,https://dth.avature.net/en_US/careers/ApplicationMethods?jobId=27448&source=Delta+Career+Site
Senior Fleet Engineer - Avionics,27535,"India, Bangalore.",https://dth.avature.net/en_US/careers/JobDetail/Senior-Fleet-Engineer-Avionics/27536?jobId=27536,https://dth.avature.net/en_US/careers/ApplicationMethods?jobId=27536&source=Delta+Career+Site
Senior Fleet Engineer - Avionics,27519,"India, Bangalore.",https://dth.avature.net/en_US/careers/JobDetail/Senior-Fleet-Engineer-Avionics-CNS-2026/27520?jobId=27520,https://dth.avature.net/en_US/careers/ApplicationMethods?jobId=27520&source=Delta+Career+Site
Senior Fleet Engineer - Avionics,27531,"India, Bangalore.",https://dth.avature.net/en_US/careers/JobDetail/Senior-Fleet-Engineer-Avionics-CNS-2026-C1/27532?jobId=27532,https://dth.avature.net/en_US/careers/ApplicationMethods?jobId=27532&source=Delta+Career+Site
