title,role,location,experience,skills,apply_id
COREP BA,Lead Software Engineer,"Mumbai, India",,CS-BFS-RC-RISK-DATA.,creq265559
Dot Net Azure Cosmos DB - Tech Lead,Lead Software Engineer,"Hyderabad, India",,DE-Distributed Microservices Apps.,creq264526
Pega Senior Systems Architect,Senior Software Engineer,"Chennai, India",,Pega-Pega Platform Skills.,creq264480
Java Developer,Software Engineer,"Hyderabad, India",,"DE-Spring Boot,MVC, REST API.",creq264750
T24 Tester,Architect (Level: Manager),"Chennai, India",,DA-WebSeleniumJava.,creq266032
JAVA Developer,Lead Software Engineer,"Hyderabad, India",,"DE-Sprint Boot, Spring Data.",creq265713
Playwright,Lead Software Engineer,"Hyderabad, India",,DA-WebSeleniumJava.,creq265711
Temenos,Director-Business Consulting (Level: Director),"Bangalore, India",,CS-BFS-RB-CORE.,creq261690
John Wiley - T0 - Java FSD,Architect (Level: Manager),"Pune, India",,"DE-Service Dev Foundation, MQ.",creq258674
React Node FSD,Lead Software Engineer,"Chennai, India",,DE-Web-React_Advanced.,creq265579
CPE Python Automation,Senior Software Engineer,"Hyderabad, India",,DA-Media STB.,creq265249
People soft,Software Engineer,"Bangalore, India",,Oracle-PeopleSoft HCM.,creq265567
L1 SOC Analyst,Consultant-IT,"Bangalore, India",,Not Mapped Skill Cluster.,job-261429
Java FSD + AWS,Lead Software Engineer,"Chennai, India",,DE-Full Stack Foundation.,creq265303
Architect (ATC),Architect (Level: Manager),"Hyderabad, India",,AILab-GENAI-Azure.,creq265943
Senior Consultant,Lead Software Engineer,"Hyderabad, India",,CS-BFS-RC-RISK-DATA.,creq265964
Senior Consultant,Lead Software Engineer,"Hyderabad, India",,CS-BFS-WM-TRAD-EXEC.,creq265941
Architect (ATC),Architect (Level: Manager),"Hyderabad, India",,PMT-PROJECT MANAGEMENT-BFS.,creq265942
Java GCP Dev,Software Engineer,"Hyderabad, India",,"DE-Spring Boot,MVC, REST API.",creq264327
Payments Testing,Senior Software Engineer,"Bangalore, India",,CS-BFS-PC-HVP-CROSS-BORD.,creq262040
