title,role,location,experience,skills,apply_id
DBA with DB2 - Z\OS,Technology Analyst,HYDERABAD,3,"Technology->Database Administration->DB2 on Mainframe->DB2,Technology->Legacy Modernization->Z/OS connect->Z/OS",247020
"Data Transmission, MFT, SFTP, FTPS",Technology Analyst,HYDERABAD,3,"Technology->BPMI - B2B->Managed File Transfer-All,Technology->Supply Chain Management->IBM Sterling OMS",247014
Python Developer,Associate Consultant,BANGALORE,2,Technology->Analytics - Packages->Python - Big Data,246992
Abinitio Admin,Associate Consultant,HYDERABAD,2,Technology->Data Management - Data Integration Administration->Ab Initio Administration,246968
Informatica Power Exchange Admin,Associate Consultant,HYDERABAD,2,Technology->Data Management - Data Integration->Informatica->Informatica - Informatica Power Exchange,246945
Java Springboot Microservices Consultants,Associate Consultant,PUNE                     ,2,"Technology->Java->Core Java,Technology->Java->Springboot,Technology->Microservices->Microservices API Management",246903
RPA UIPath/Power Automate Consultant,Associate Consultant,BANGALORE,2,"Technology->AI-RPA->UIPath,Technology->AI-RPA->Automation Anywhere",246897
.Net Core Senior Developer,Technology Analyst,HYDERABAD,3,Technology->Microsoft Technologies->.NET Frameworks->.NET Core,246880
Veeva Consultant,Consultant,CHENNAI,3,Technology->Life Sciences->CTMS/Trial conduct->Veeva Vault,246868
Azure devops platform,Associate Consultant,BANGALORE,2,Technology->Cloud Platform->Azure Devops,246851
PEGA  Automation Testing Analyst,Associate Consultant,BANGALORE,2,Technology->Package Testing->PEGA Testing,246822
Salesforce Testing Analyst,Associate Consultant,BANGALORE,2,Technology->Package Testing->SFDC Testing,246805
Data Testing - Cloud Analyst,Quality Engineering Analyst,PUNE                     ,3,Technology->Data Services Testing->Big Data Testing,246839
S2R_IQE_API TESTING_Q2_FY 27,Quality Engineering Analyst,BANGALORE,3,Technology->API Testing->Postman,246781
S2R_IQE_ETL_Q2_FY 27,Quality Engineering Analyst,BANGALORE,3,Technology->ETL & Data Quality->ETL - Others,246780
Python/Python GenAI,Associate Consultant,BANGALORE,2,"Technology->AI-Generative AI->Generative AI - Basic,Technology->OpenSystem->Python - OpenSystem->Python,Technology->AI-Generative AI->Artificial Intelligence - BASIC",246733
Angular/React + AI,Associate Consultant,BANGALORE,2,"Technology->UI & Markup Language->Angular JS/Angular 1.x->Angular 2,Technology->Reactive Programming->react JS,Technology->AI-Responsible AI->Responsible AI",246721
Java + Angular,Associate Consultant,BANGALORE,2,"Technology->Java->Core Java,Technology->UI & Markup Language->ANGULARJS2,Technology->Reactive Programming->react JS,Technology->Java->Springboot",246716
